#longitude latitude node
4.5194359591 39.5088458079 node000
4.7009166464 39.4945894128 node001
4.89149358167 39.4812945216 node002
5.09889428641 39.4994620426 node003
5.29974576131 39.495039951 node004
5.49198362446 39.5024029137 node005
4.50261514124 39.7419952938 node006
4.70506824521 39.7297806262 node007
4.91002857891 39.7405401097 node008
5.10480815165 39.7558980563 node009
5.31090983247 39.750786421 node010
5.50988585819 39.7493028081 node011
4.5022808147 39.9937690709 node012
4.69748275776 39.9875422857 node013
4.90474251762 39.9894114335 node014
5.10877991419 40.0061740495 node015
5.30337238783 39.9832947959 node016
5.50428232238 39.9819285962 node017
4.49352105389 40.2523407829 node018
4.69734191731 40.2499198014 node019
4.90268883488 40.2377296617 node020
5.0955049214 40.2550893846 node021
5.30325154244 40.246157882 node022
5.50732646926 40.2557328563 node023
4.50511625286 40.4991043352 node024
4.694706242 40.4865865942 node025
4.91265212187 40.5147551947 node026
5.10160482063 40.4952585044 node027
5.29708767058 40.4963930096 node028
5.50591743554 40.5022605605 node029
